Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary,PossibleExternal
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,okhttp3.OkHttpClient,newWebSocket,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.dropbox.core.g,clinit,false,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.jitsi.meet.sdk.OngoingNotification,clinit,false,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.dropbox.core.m.c,clinit,false,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.oney.WebRTCModule.l0,clinit,false,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.jitsi.meet.MainActivity,clinit,false,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSource,md5,true,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.Buffer,md5,true,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.ByteString,sha1,true,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.facebook.soloader.SoLoader$a,b,true,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.ByteString,md5,true,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.facebook.common.util.b,a,true,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSink,md5,true,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.Buffer,sha1,true,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSink,sha1,true,true
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSource,sha1,true,true
"Found: ""http://%s/onchange""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.facebook.react.devsupport.DevServerHelper,createOnChangeEndpointUrl,true,true
"Found: ""http://%s/%s""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.facebook.react.devsupport.DevServerHelper,createResourceURL,true,true
"Found: ""http://%s/status""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.facebook.react.devsupport.DevServerHelper,createPackagerStatusURL,true,true
"Found: ""http://%s/open-stack-frame""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.facebook.react.devsupport.DevServerHelper,createOpenStackFrameURL,true,true
"Found: ""http://%s/launch-js-devtools""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.facebook.react.devsupport.DevServerHelper,createLaunchJSDevtoolsCommandUrl,true,true
"Found: ""http://%s/symbolicate""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.facebook.react.devsupport.DevServerHelper,createSymbolicateURL,true,true
