Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary,PossibleExternal
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.activity.result.ActivityResultRegistry,init,true,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,kotlin.random.FallbackThreadLocalRandom$implStorage$1,initialValue,false,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.trilead.ssh2.crypto.PEMDecoder,decryptData,false,true
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,com.trilead.ssh2.KnownHosts,hostnameMatches,false,true
"Found: Constant ""ssh-dss""",Used constant keys in code,3,Used constant keys in code,547,1,com.gaurav.avnc.viewmodel.HostKeyVerifier,verifyServerHostKey,false,true
"Found: Constant ""62""",Used constant keys in code,3,Used constant keys in code,547,1,com.trilead.ssh2.crypto.Base64,decode,false,true
"Found: Constant ""ssh-ed25519""",Used constant keys in code,3,Used constant keys in code,547,1,com.gaurav.avnc.viewmodel.HostKeyVerifier,verifyServerHostKey,false,true
"Found: Constant ""64""",Used constant keys in code,3,Used constant keys in code,547,1,com.trilead.ssh2.crypto.Base64,decode,false,true
"Found: Constant ""ecdsa-sha2-nistp521""",Used constant keys in code,3,Used constant keys in code,547,1,com.gaurav.avnc.viewmodel.HostKeyVerifier,verifyServerHostKey,false,true
"Found: Constant ""rsa-sha2-512""",Used constant keys in code,3,Used constant keys in code,547,1,com.gaurav.avnc.viewmodel.HostKeyVerifier,verifyServerHostKey,false,true
"Found: Constant ""ecdsa-sha2-nistp384""",Used constant keys in code,3,Used constant keys in code,547,1,com.gaurav.avnc.viewmodel.HostKeyVerifier,verifyServerHostKey,false,true
"Found: Constant ""ecdsa-sha2-nistp256""",Used constant keys in code,3,Used constant keys in code,547,1,com.gaurav.avnc.viewmodel.HostKeyVerifier,verifyServerHostKey,false,true
"Found: Constant ""63""",Used constant keys in code,3,Used constant keys in code,547,1,com.trilead.ssh2.crypto.Base64,decode,false,true
"Found: Constant ""rsa-sha2-256""",Used constant keys in code,3,Used constant keys in code,547,1,com.gaurav.avnc.viewmodel.HostKeyVerifier,verifyServerHostKey,false,true
"Found: Constant ""ISO-8859-1""",Used constant keys in code,3,Used constant keys in code,547,1,com.trilead.ssh2.packets.TypesReader,readString,false,true
"Found: Constant ""ssh-rsa""",Used constant keys in code,3,Used constant keys in code,547,1,com.gaurav.avnc.viewmodel.HostKeyVerifier,verifyServerHostKey,false,true
