Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary
"Found: ""RC4""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init,false
"Found: ""RC4""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init,false
"Found: ""IDEA""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init,false
"Found: ""DESede""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init,false
"Found: ""DESede""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,w5.a,e,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init,false
"Found: ""RC4""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,i8.a,a,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,w5.a,a,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,w5.a,c,false
"Found: ""DES/ECB/NoPadding""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,i8.a,b,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,w5.a,d,false
"Found: ""DESede""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init,false
"Found: ""IDEA""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init,false
"Found: ""Blowfish""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init,false
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,w5.a,b,false
"Found: ""Blowfish""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,xb.d,init,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,pe.r,init,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,f7.a,b,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,ye.c,clinit,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,y8.b$a,initialValue,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,d8.e,init,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.activity.result.a,init,true
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,ci.c$b,w,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,x9.k,init,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,g8.p0,clinit,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,fi.c0,n,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,c0.c,e,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,ci.d$d,n,false
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,me.zhanghai.android.files.navigation.BookmarkDirectory,init,true
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,sc.c,a,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,y9.l0,run,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,net.schmizz.sshj.common.e,f,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,ie.m,b,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,ic.c,init,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,oc.f,h,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,i8.a,d,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,net.schmizz.sshj.common.e,a,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,y9.l0,run,false
"Found: ""MD4""",Found broken hash functions,2,Found broken hash functions,759,1,i8.a,c,false
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,s9.b,a,false
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,oc.f,g,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g,false
"Found: Constant ""1L""",Used constant keys in code,3,Used constant keys in code,547,1,ld.a$a,a,false
"Found: Constant ""0L""",Used constant keys in code,3,Used constant keys in code,547,1,ld.a$a,a,false
"Found: Constant ""aes256-cbc""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,b,false
"Found: Constant ""1L""",Used constant keys in code,3,Used constant keys in code,547,1,ld.a$a,a,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g,false
"Found: Constant ""0""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g,false
"Found: Constant ""1""",Used constant keys in code,3,Used constant keys in code,547,1,oc.f,g,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g,false
"Found: ""aes256-cbc""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,b,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g,false
"Found: ""0""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g,false
"Found: ""1""",Found constant IV in code,10,Found constant IV in code,547,1,oc.f,g,false
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.Twofish$PBEWithSHA,init,false
"Found: ""1""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,false
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC128,init,false
"Found: ""0""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.util.BaseStreamCipher,engineInit,false
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC256,init,false
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC192,init,false
"Found: ""20""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.pkcs12.PKCS12KeyStoreSpi,init,false
"Found: ""4""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi$StoreEntry,init,false
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.symmetric.RC2$PBEWithSHAAnd128BitRC2,init,false
