Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.money.manager.ex.passcode.SimpleCrypto,encrypt
"Found: ""AES""",Found broken crypto schemes,1,Found broken crypto schemes,256,1,com.money.manager.ex.passcode.SimpleCrypto,decrypt
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.transition.Explode,calculateOut
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.google.common.hash.Striped64,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.RandomUtils,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.RandomStringUtils,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,com.google.common.cache.Striped64,clinit
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,okhttp3.OkHttpClient,newWebSocket
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.apache.commons.lang3.ArrayUtils,shuffle
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.jsoup.helper.DataUtil,mimeBoundary
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of UNKNOWN,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,UNKNOWN,getAcceptedIssuers
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of UNKNOWN,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,UNKNOWN,UNKNOWN
"Cause: Fixed ""[1]""",Used untrusted HostNameVerifier,6,Used untrusted HostNameVerifier,601,1,UNKNOWN,UNKNOWN
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.ByteString,sha1
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSink,md5
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.google.common.hash.Hashing$Sha1Holder,clinit
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.Buffer,md5
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.ByteString,md5
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSource,md5
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,com.google.common.hash.Hashing$Md5Holder,clinit
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSource,sha1
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.Buffer,sha1
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okio.HashingSink,sha1
"Found: Constant ""6c2a6f30726b3447747559525162665768412370297c5573342324705b""",Used constant keys in code,3,Used constant keys in code,547,1,com.money.manager.ex.core.Passcode,decrypt
"Found: Constant ""6c2a6f30726b3447747559525162665768412370297c5573342324705b""",Used constant keys in code,3,Used constant keys in code,547,1,com.money.manager.ex.core.Passcode,encrypt
"Found: ""100""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,com.money.manager.ex.passcode.Encryptor,deriveKeySecurely
"Found: ""6c2a6f30726b3447747559525162665768412370297c5573342324705b""",Found predictable seeds in code,11,Found predictable seeds in code,760,1,com.money.manager.ex.core.Passcode,decrypt
"Found: ""6c2a6f30726b3447747559525162665768412370297c5573342324705b""",Found predictable seeds in code,11,Found predictable seeds in code,760,1,com.money.manager.ex.core.Passcode,encrypt
"Found: ""http://localhost/""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,retrofit2.Response,error
"Found: ""http://localhost/""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,retrofit2.Response,success
"Found: ""http://localhost/""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,retrofit2.Response,success
"Found: ""http://quotes.morningstar.com""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.money.manager.ex.investment.morningstar.MorningstarPriceUpdater,getMorningstarService
