Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.transition.Explode,calculateOut
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.activity.result.ActivityResultRegistry,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,org.osmdroid.tileprovider.tilesource.BitmapTileSourceBase,init
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okhttp3.internal.Util,md5Hex
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okhttp3.internal.Util,shaBase64
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.Buffer,toString
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,okio.ByteString,md5
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,okhttp3.internal.Util,sha1
"Found: ""http://localhost/""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,retrofit2.Response,error
"Found: ""http://localhost/""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,retrofit2.Response,success
"Found: ""http://localhost/""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,retrofit2.Response,success
"Found: ""http://api.openweathermap.org/data/2.5/""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,github.vatsal.easyweather.retrofit.api.ApiClient,ApiClient
