Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,androidx.activity.result.ActivityResultRegistry,init
Found: Untrused PRNG (java.util.Random),Used untrusted PRNG,13,Used untrusted PRNG,338,1,g.r.b$a,initialValue
Should at least get One accepted Issuer from Other Sources in getAcceptedIssuers method of UNKNOWN,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,UNKNOWN,getAcceptedIssuers
Should throw java.security.cert.CertificateException in check(Client|Server)Trusted method of UNKNOWN,Uses untrusted TrustManager,4,Uses untrusted TrustManager,349,1,UNKNOWN,UNKNOWN
"Cause: Fixed ""[1]""",Used untrusted HostNameVerifier,6,Used untrusted HostNameVerifier,601,1,UNKNOWN,UNKNOWN
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,org.conscrypt.NativeCrypto,X509_NAME_hash_old
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,j.d,e
"Found: ""SHA-1""",Found broken hash functions,2,Found broken hash functions,759,1,com.facebook.stetho.websocket.WebSocketHandler,generateServerKey
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,j.d,b
"Found: ""sha1""",Found broken hash functions,2,Found broken hash functions,759,1,d.a.a.a.m.h.b.i1,clinit
"Found: ""sha-1""",Found broken hash functions,2,Found broken hash functions,759,1,d.a.a.a.m.h.b.i1,clinit
"Found: ""MD5""",Found broken hash functions,2,Found broken hash functions,759,1,b.d.a.a.b,b
"Found: ""md5""",Found broken hash functions,2,Found broken hash functions,759,1,d.a.a.a.m.h.b.i1,clinit
"Found: ""SHA1""",Found broken hash functions,2,Found broken hash functions,759,1,org.conscrypt.NativeCrypto,X509_NAME_hash
